"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central Europe and the Baltics","CEB","Population ages 60-64, male","SP.POP.6064.MA","1642618","1729522","1812419","1893959","1969966","2026230","2076538","2134886","2183935","2226687","2262123","2280911","2289428","2280894","2254247","2182591","2032521","1821943","1605716","1485582","1511511","1653826","1870648","2114085","2286695","2379817","2444700","2483679","2525508","2563558","2592572","2615961","2631794","2631521","2608618","2571224","2532227","2500335","2471390","2452960","2428233","2390568","2349123","2319901","2296973","2272501","2298358","2397387","2530463","2694446","2868494","3013952","3109410","3175249","3227704","3269763","3303577","3314919","3297740","3251228","3163027","3051031","2963511","2899327","2855510",
"Switzerland","CHE","Population ages 60-64, male","SP.POP.6064.MA","117017","120026","123531","126834","129493","132086","134651","136629","138930","141308","143346","144454","145168","145919","146095","144474","141308","137697","133824","130736","131574","136341","141384","145873","149403","150733","150128","149808","150022","150927","152693","154192","155575","157416","159643","161832","163468","164566","165883","167612","169251","172194","178125","186280","195058","204065","212264","218237","222476","225387","226454","226194","225781","226059","227470","230291","235161","241431","247748","254687","261983","268913","278448","292812","307755",
"Channel Islands","CHI","Population ages 60-64, male","SP.POP.6064.MA","2692","2784","2855","2939","3006","3070","3148","3223","3301","3371","3421","3458","3490","3510","3509","3474","3364","3182","2979","2848","2847","2912","2983","3075","3165","3224","3265","3260","3226","3217","3216","3192","3176","3225","3289","3325","3389","3481","3564","3641","3673","3646","3594","3557","3562","3610","3822","4178","4454","4620","4753","4782","4692","4653","4693","4724","4765","4849","4977","5127","5274","5441","5632","5815","6005",
"Chile","CHL","Population ages 60-64, male","SP.POP.6064.MA","84090","85709","87253","88900","90860","93193","95847","98771","101821","104834","107683","110528","113568","116732","119859","122961","125971","128776","131603","134994","139353","144494","150179","156718","164577","173507","183658","195200","206696","215948","222315","225982","226962","226368","225967","226547","227885","229991","232865","236305","240208","244784","250265","256879","264806","273471","283220","295181","309466","325029","341898","359299","375136","389193","402212","414740","427683","441722","456071","470041","482510","493112","502903","513041","523765",
"China","CHN","Population ages 60-64, male","SP.POP.6064.MA","7858547","7747646","7829214","8016810","8229597","8439694","8627400","8760788","8871750","9034058","9231615","9416226","9627777","9936054","10311445","10674831","11018515","11338406","11557991","11701441","11935600","12264387","12606191","13006252","13505947","13988035","14350148","14722966","15201070","15605207","15977181","16452115","16968128","17555841","18202920","18770809","19316952","19839115","20161998","20270136","20367438","20560835","20726327","20833260","21102551","21527194","22094271","23010277","24277944","25731820","27520561","29443681","31581326","33735068","35619656","37282332","38400099","39166770","39418402","38374180","36274094","34097647","33543614","36317207","40930855",
"Cote d'Ivoire","CIV","Population ages 60-64, male","SP.POP.6064.MA","30571","31812","33137","34528","35975","37475","39034","40652","42336","44118","46040","48127","50382","52777","55305","57979","60416","62565","64748","67168","69807","72436","75066","77718","80245","82676","85195","87797","90424","93393","96753","100183","103683","107221","110733","114131","117403","120564","123500","125758","127293","128444","129298","129977","130602","131250","131829","132051","133544","137693","144389","153704","165284","178526","188715","195670","203292","211151","219186","227703","236008","244103","252989","262750","273145",
"Cameroon","CMR","Population ages 60-64, male","SP.POP.6064.MA","56605","57082","57970","59282","60617","61989","63406","64867","66364","67897","69449","71004","72556","74102","75651","77215","78742","80223","81772","83348","85142","87063","88358","89468","91007","92689","94401","96151","97897","99609","101344","103089","104855","106689","108557","110410","112330","114378","116480","118498","120474","122549","124788","127253","130044","133116","136175","138820","140692","142058","143971","146792","150536","155529","161759","168248","174423","180561","186839","193434","199845","206081","212790","220200","228037",
"Congo, Dem. Rep.","COD","Population ages 60-64, male","SP.POP.6064.MA","117540","120183","122927","125905","129104","132616","136668","141210","146019","150901","155796","160623","165429","170386","175524","180850","186293","191885","198492","205909","212986","219884","227060","234762","243186","252013","260974","270440","280450","290700","301593","312901","324789","337601","353849","369213","378858","388112","400884","415554","430321","445587","460891","476496","493306","511551","530259","548366","564120","576232","586480","597339","609601","625077","644853","667032","691411","717290","742398","767156","792083","817084","843194","871079","900212",
"Congo, Rep.","COG","Population ages 60-64, male","SP.POP.6064.MA","11394","11673","11874","12030","12192","12380","12588","12815","13058","13310","13564","13827","14098","14379","14668","14935","15191","15504","15940","16496","17095","17631","17961","17939","17634","17371","17375","17696","18293","19035","19765","20358","20759","21046","21343","21697","22186","22686","23252","23910","24716","25406","25612","25742","26030","26485","27148","28046","29062","30363","31848","33229","34502","35728","37197","38971","41024","43408","46077","48822","51498","54129","56762","59465","62285",
"Colombia","COL","Population ages 60-64, male","SP.POP.6064.MA","117981","122548","128008","133965","139745","145199","150257","154714","159010","163962","169730","176330","184016","192111","199296","205257","210040","213537","216484","220120","225037","231065","238262","246528","255306","263766","272331","281421","290459","299189","307583","315900","324604","333786","343097","352581","362100","371409","381048","392144","405269","420619","438638","459464","482680","507656","533736","560042","585571","614405","647379","681076","716701","755447","793438","830295","870040","912912","958133","1004193","1047639","1086068","1125585","1168339","1209562",
